,Travel Time (min),Energy Consumption (SOC),Charging Time (min),Charging Cost,Waiting Time (min)
weight,0.04508566275924256,2.2914757103574703,0.01,0.002,1.5
cost,368.20523989550026,290.43209841688963,58.38173468048183,110276.6099520212,37.21070981367634
