,generation,best_fitness,worst_fitness,feasible,average_fitness,std_fitness
0,0,8560.123837864308,569569910.3688903,True,-25560530.596285924,79424341.12263317
1,1,8142.451636843431,301879928.1733074,True,-9232761.95731525,35317993.14332057
2,2,8142.451636843431,74568107.90813978,True,-2716237.2358723036,9643447.062474385
3,3,8024.356911711877,76224324.97213082,True,-4942987.919548129,14529810.802047499
4,4,7992.286863251889,50368266.10826491,True,-1279206.434586293,7052520.913379965
5,5,7972.934769907379,108291136.7925342,True,-3622399.4374306924,16497914.472653065
6,6,7911.86211181329,123351373.48454711,True,-3025759.6416354575,15955270.89589649
7,7,7911.86211181329,137505948.47021553,True,-3163070.251244409,16758052.195970288
8,8,7911.86211181329,60661682.208002575,True,-2299935.09585504,8723755.888122613
9,9,7845.416509838518,12498114.523074389,True,-505112.83392045915,1988148.2531634523
10,10,7338.946074707689,17775717.808747023,True,-714574.8675867387,2638929.4352079043
11,11,7338.436977556963,17641751.760409337,True,-648301.1939917783,2294940.3217731924
12,12,7135.133517045312,48119542.738631226,True,-1614915.52216306,7280854.432147018
13,13,6969.486467817601,41756636.63932937,True,-1095605.719444948,5597422.261691827
14,14,6969.486467817601,212809698.31421643,True,-3851517.3310035025,23232803.718887676
15,15,6968.2562189422015,139022241.73634663,True,-2171220.426312985,14891790.899560103
16,16,6910.371699423227,119230396.02800287,True,-3254378.907368293,14588406.824014133
17,17,6762.890004548749,110801240.4920974,True,-1872586.3813867215,12335486.566561658
18,18,6762.890004548749,117757169.17289567,True,-2024368.6030187325,12785012.174811866
19,19,6757.504280511882,10735928.354212085,True,-511264.1652655288,1803941.8939645994
20,20,6624.6600044691895,143872528.59890676,True,-5607589.500901696,23351004.54995262
21,21,6624.6600044691895,14994834.24562049,True,-596587.3785624242,2216952.976560517
22,22,6567.086990845842,78567115.07399294,True,-3140044.766382171,11174674.436481405
23,23,6510.641483858741,67139595.18980852,True,-1983955.224375803,9505452.55085768
24,24,6337.23083633325,124898049.87987272,True,-4362401.278142381,16770542.71597987
25,25,6336.912794587449,224987939.13264883,True,-7636782.528528185,37354368.578164525
26,26,6335.850737346149,55759529.737978615,True,-2979446.5858831014,9329185.464066552
27,27,6245.118767836025,90185154.04357518,True,-3819726.762433141,14968176.319896022
28,28,6245.118767836025,23409534.713939708,True,-786664.7229457659,3220214.6845497647
29,29,6245.118767836025,109862214.81269257,True,-2121810.356482622,12033116.044178188
30,30,6164.269657451269,38257057.90696588,True,-1416708.3383929394,5651947.226937181
31,31,6124.922235073674,29037538.648116846,True,-1053746.051633137,4563488.533921505
32,32,6104.36730672426,106970025.11045887,True,-3586552.182488238,14105028.285999836
33,33,6104.36730672426,85114591.87300105,True,-2479822.317525004,12025383.722803045
34,34,6104.36730672426,97330183.30683185,True,-2579238.031460389,12642546.881806573
35,35,6082.463070594198,48522838.26611942,True,-1297344.8132795568,5722549.786828225
36,36,6082.463070594198,97719891.98151772,True,-4330319.523950086,17521334.63611804
37,37,5999.587125014681,40012736.18229576,True,-1628237.5474012587,5754973.6162709985
38,38,5891.589028540374,65700781.46118066,True,-1451839.0571003668,7498259.322941314
39,39,5891.589028540374,123614389.09928504,True,-3237117.030210431,15698002.126545772
40,40,5808.672074722555,19911613.29293521,True,-838021.0636209163,3293450.298439058
41,41,5786.867208904956,141773873.47588658,True,-4664650.343091823,20834559.012056097
42,42,5786.867208904956,86781393.31105638,True,-3515966.7634327887,13515766.70825726
43,43,5738.942512321918,27672201.332619682,True,-1401287.9372335973,4966617.289401506
44,44,5724.331525935825,263782001.49882355,True,-3756751.447556974,27802472.89330953
