,Sk,Lk,x1_reaching,x2_reaching,x3_reaching,x1_leaving,x2_leaving,x3_leaving
0,0,0.0,38039.777384819135,95.0,1042.39,38039.777384819135,95.0,1042.39
1,8,0.0,38498.02340340749,86.85797870608009,1042.39,39363.01340340749,86.85797870608009,1000.0100000000001
2,11,0.0,39423.147331687425,85.79332336200233,1000.0100000000001,40200.467331687425,85.79332336200233,948.7900000000001
3,6,0.0,40222.437982437994,85.42893880429177,948.7900000000001,40818.03798243799,85.42893880429177,873.44
4,4,0.0,40854.439742912764,84.83459797851728,873.44,41193.699742912766,84.83459797851728,799.24
5,15,0.0,41308.7110779743,83.01399706905032,799.24,41961.2810779743,83.01399706905032,750.4
6,14,0.0,42072.94356145834,81.14476227503742,750.4,42957.15356145834,81.14476227503742,681.85
7,13,0.0,43170.950488533315,77.941414607397,681.85,43985.36048853332,77.941414607397,607.62
8,2,0.0,44273.76647587083,73.44639861368933,607.62,44681.33647587083,73.44639861368933,555.56
9,9,0.0,45194.468493075685,65.72895075934726,555.56,45738.288493075685,65.72895075934726,508.84999999999997
10,17,0.0,45874.21613358308,63.83840280308194,508.84999999999997,46207.296133583084,63.83840280308194,486.95
11,1,0.0,46660.227734327505,57.14117610802796,486.95,47425.907734327506,57.14117610802796,437.06
12,16,0.0,47476.6892343282,56.44950044273072,437.06,47997.2192343282,56.44950044273072,379.14
13,19,0.0,48109.29023018216,54.981108257638304,379.14,48892.39023018216,54.981108257638304,312.16999999999996
14,12,0.0,49019.93202338104,53.338538970760425,312.16999999999996,49427.35202338104,53.338538970760425,247.81999999999996
15,7,0.0,49632.582496641924,50.76001578467356,247.81999999999996,50469.152496641924,50.76001578467356,217.84999999999997
16,3,0.0,50583.399536680685,49.380968584411086,217.84999999999997,51467.19953668069,49.380968584411086,175.23999999999995
17,10,0.0,51772.33449241055,45.455464352292864,175.23999999999995,52190.06449241055,45.455464352292864,116.63999999999996
18,20,0.0,53076.79385441005,35.51208914583879,116.63999999999996,53767.37385441005,35.51208914583879,71.32999999999996
19,18,0.0,53868.83957404518,34.390430971173245,71.32999999999996,54179.14957404518,34.390430971173245,41.23999999999995
20,5,0.0,54247.53149409917,33.63835394667609,41.23999999999995,54997.26149409917,33.63835394667609,-4.973799150320701e-14
21,0,0.0,55466.705496523384,28.751235621948634,-4.973799150320701e-14,55466.705496523384,28.751235621948634,-4.973799150320701e-14
