,generation,best_fitness,worst_fitness,feasible,average_fitness,std_fitness
0,0,518878.8805196452,1140218281.9386575,False,-57578877.653609626,187548111.53730428
1,1,517872.2516403212,79151234.10287447,False,-2196567.9151664083,8891129.499040045
2,2,8317.621693959863,460305700.3722874,True,-11415582.951771272,51981520.2288614
3,3,8119.808147849026,61881561.11453755,True,-3717667.0127196717,10858079.051350832
4,4,7980.196294361074,100426428.04614829,True,-5029621.487559804,17663525.226364706
5,5,7802.938255228484,297206407.2759414,True,-9001239.427258262,39006737.659113824
6,6,7654.530704575966,45124016.31710358,True,-1186837.9565909195,6301662.783990281
7,7,7461.952580545053,80847994.78906843,True,-2527615.506733592,11385809.824661838
8,8,7456.543289277712,99374141.0574052,True,-2561533.191135263,12830416.951632392
9,9,7365.2415869455235,36747107.75791798,True,-1794199.822868826,6703343.97829986
10,10,6988.093786306963,69393338.77600598,True,-2511155.853636577,9319164.055176176
11,11,6904.440069148057,41555774.46377351,True,-1288446.618463618,6230274.492094447
12,12,6628.816075860706,107113580.37074272,True,-1791270.333620272,11460114.236594517
13,13,6628.816075860706,82383182.88294028,True,-2324605.0496268864,9664563.751091363
14,14,6484.000928447504,73923274.9347853,True,-1189922.0347509717,7905743.114831371
15,15,6484.000928447504,30522279.062193133,True,-726562.9839413285,3483391.4187517776
16,16,6484.000928447504,53886498.16815988,True,-1731045.6951581964,7690281.150839141
17,17,6482.896023283194,24812159.14034005,True,-504325.5454142615,3105542.841635996
18,18,6389.037572562704,95131161.91333027,True,-2235247.4175137333,12154775.95165691
19,19,6339.001507191365,55420374.11433391,True,-1333929.078752135,6693036.741234524
20,20,6337.996483521401,102292435.07426459,True,-3631143.7613069904,14582425.921037218
21,21,6260.889299873838,89284609.48406543,True,-3532822.0576671693,15484099.389348473
22,22,6222.690297936038,150758312.65870157,True,-4261548.6213267315,19106900.309084572
23,23,6222.690297936038,107734935.85536866,True,-2812481.7085746303,14635235.59091918
24,24,6222.542246460311,98476444.08378638,True,-4464601.337106502,17275233.518413797
25,25,6124.4518181681715,25932748.150490884,True,-906017.2404249338,3861266.733385895
26,26,6082.274015525136,16815562.41924516,True,-894287.90049946,3015265.600121096
27,27,6081.509210771715,272228205.93800765,True,-5512115.592301067,31291980.185843263
28,28,6081.509210771715,115794369.70820445,True,-3613957.9890796356,16953652.64833375
29,29,6081.178160120042,117404699.23523381,True,-4175259.677915091,18228879.2884297
30,30,5865.610709618974,57747561.87903447,True,-1204811.9052803635,7241043.9364638
31,31,5807.000857893524,36084587.11393183,True,-890063.8282734497,4177796.2848860584
32,32,5807.000857893524,123175085.27673201,True,-5496009.6244137,20837316.80193315
33,33,5769.3244954542,84307476.4263605,True,-2935143.719783697,11840487.126360374
34,34,5769.3244954542,39953038.05265186,True,-1985751.0899987647,7204694.409150395
35,35,5769.3244954542,123802405.93066399,True,-7046460.962979592,24550326.32001277
36,36,5747.806464347559,66013061.44178742,True,-3380288.532415912,10948683.00892837
37,37,5747.806464347559,66023506.5131327,True,-1928549.1806742917,8273378.713540691
38,38,5632.039091430181,80349216.76916389,True,-2412622.711501787,10301600.65621853
39,39,5610.327926974812,199365687.45183465,True,-6150040.92771495,24877887.85634094
40,40,5609.866369590754,125326584.57957777,True,-3586372.8618677855,16553012.325147552
41,41,5580.415644980931,141830028.36316496,True,-4080341.371695078,17042131.319364313
42,42,5580.415644980931,125698127.26644565,True,-3728541.311745606,17846295.085223425
43,43,5579.975858314321,58236224.86915959,True,-1941323.3707194736,8019559.578189743
44,44,5579.975858314321,239833719.8445127,True,-6280090.048049676,30081724.050448243
45,45,5579.975858314321,135623659.15647936,True,-3784571.1054879692,17456468.939898506
46,46,5579.948657661609,86546246.13105926,True,-3728691.219708291,15099191.398563936
47,47,5579.948657661609,108803321.27274905,True,-2237709.7779609687,12138338.487762991
48,48,5555.622749394521,165776253.13244545,True,-6660891.354618387,25782853.44493253
49,49,5555.622749394521,68974724.20648172,True,-2618346.8599712853,10931450.148613853
50,50,5555.594345135373,186008821.7974222,True,-10152187.122318067,30456280.190994076
51,51,5531.191267047867,64187829.86763617,True,-3965270.475362509,12954395.503417755
52,52,5531.191267047867,137751799.4308748,True,-4417663.449031726,17427697.09150402
53,53,5531.185828021113,36009249.67389756,True,-980107.1685120831,4493600.8394962195
54,54,5531.185828021113,126323922.5483251,True,-4083751.709840007,19263260.44402377
55,55,5531.185828021113,142335341.35381517,True,-5461481.809036221,23863683.189404607
56,56,5531.185828021113,86414038.60678849,True,-2281574.6042961297,11854790.275540233
57,57,5531.185828021113,93957001.73948936,True,-3396503.761014186,14410798.47401641
58,58,5531.185828021113,110592460.46525815,True,-3314406.8482008735,13590385.83387223
59,59,5529.715435060184,170408614.8510162,True,-5534097.678816158,21659499.057767477
60,60,5529.715435060184,145965786.9473989,True,-5175330.245344505,20927186.55097451
61,61,5529.715435060184,120320154.47699824,True,-3142799.1913147727,14690955.392261567
62,62,5529.715435060184,98390334.3800113,True,-3069137.6985677024,12647764.468345022
63,63,5529.715435060184,130706351.17446736,True,-5925315.352694722,21773780.982110724
64,64,5529.715435060184,48485940.1184926,True,-1705850.5631115069,7229082.622830498
65,65,5529.715435060184,122506659.01143228,True,-6708875.49929276,23285391.259234548
66,66,5529.715435060184,88587497.64309765,True,-3508212.107760564,13102532.13651432
67,67,5529.715435060184,95811376.66679306,True,-1929237.4647062395,10375160.5402387
68,68,5529.715435060184,100674714.13867728,True,-2421152.293239691,11433607.69441006
69,69,5529.715435060184,93929240.06635174,True,-3045724.9762982316,12957879.976121858
70,70,5525.277794792191,121553625.2956902,True,-2736705.472452434,13307475.428373815
71,71,5525.277794792191,157333113.93553665,True,-6223995.341902843,21644009.52876994
72,72,5525.277794792191,65328978.19681313,True,-2413135.772661927,11193355.65002421
73,73,5525.272115906323,241000941.31465876,True,-5878084.7438427815,27777312.024913926
74,74,5525.272115906323,27406341.83680362,True,-897418.1387648127,3722085.0999339134
75,75,5525.263750831868,128203427.56000924,True,-4692921.672610628,17839281.287476856
76,76,5525.263750831868,55602201.27100453,True,-2423840.5009283633,9268189.582568327
77,77,5525.263750831868,131618045.62998405,True,-3778001.6047518374,17253468.416998576
