,Sk,Lk,x1_reaching,x2_reaching,x3_reaching,x1_leaving,x2_leaving,x3_leaving
0,0,0.0,39428.93728131421,95.0,1042.39,39428.93728131421,95.0,1042.39
1,13,0.0,40022.338696097904,84.05760107999504,1042.39,40836.74869609791,84.05760107999504,968.1600000000001
2,2,0.0,41124.71670727765,78.8080183389803,968.1600000000001,41532.28670727765,78.8080183389803,916.1000000000001
3,14,0.0,41912.40881496113,72.19398122993302,916.1000000000001,42796.618814961126,72.19398122993302,847.5500000000002
4,4,0.0,42852.28552517263,71.20492697451515,847.5500000000002,43191.54552517263,71.20492697451515,773.3500000000001
5,6,0.0,43227.28103775815,70.62466121729061,773.3500000000001,43822.88103775815,70.62466121729061,698.0000000000001
6,8,0.0,43890.43718308305,69.5879590535544,698.0000000000001,44755.42718308305,69.5879590535544,655.6200000000001
7,11,0.0,44815.58515406016,68.66679579398624,655.6200000000001,45592.90515406016,68.66679579398624,604.4000000000001
8,15,0.0,45742.75573079787,66.28613930527588,604.4000000000001,46395.32573079787,66.28613930527588,555.5600000000001
9,9,0.0,46754.069610024635,61.19948263686105,555.5600000000001,47297.889610024635,61.19948263686105,508.8500000000001
10,17,0.0,47433.78337103914,59.30847409735145,508.8500000000001,47766.863371039144,59.30847409735145,486.9500000000001
11,16,0.0,48197.525902486246,52.981657361412886,486.9500000000001,48718.055902486245,52.981657361412886,429.0300000000001
12,1,0.0,48768.9188407012,52.29384023235611,429.0300000000001,49534.5988407012,52.29384023235611,379.1400000000001
13,21,0.8968791670227012,49694.37493243851,50.23793928930499,379.1400000000001,49717.92592421257,51.13481845632769,379.1400000000001
14,12,0.0,49814.21943363822,49.82640685302185,379.1400000000001,50221.63943363822,49.82640685302185,314.7900000000001
15,3,0.0,50371.24342387463,47.76951879295027,314.7900000000001,51255.04342387463,47.76951879295027,272.18000000000006
16,7,0.0,51367.57275735666,46.327087300686976,272.18000000000006,52204.14275735666,46.327087300686976,242.21000000000006
17,19,0.0,52495.611659542126,42.64354603082571,242.21000000000006,53278.711659542125,42.64354603082571,175.24000000000007
18,20,0.0,53865.96864493614,35.65613203610211,175.24000000000007,54556.54864493614,35.65613203610211,129.93000000000006
19,18,0.0,54657.94413131506,34.49342127133568,129.93000000000006,54968.25413131506,34.49342127133568,99.84000000000006
20,5,0.0,55036.68703377923,33.714417290645535,99.84000000000006,55786.41703377923,33.714417290645535,58.60000000000006
21,10,0.0,56551.60330225903,25.04028322789535,58.60000000000006,56969.33330225903,25.04028322789535,5.684341886080802e-14
22,0,0.0,57437.34109812696,20.035521712604265,5.684341886080802e-14,57437.34109812696,20.035521712604265,5.684341886080802e-14
