,generation,best_fitness,worst_fitness,feasible,average_fitness,std_fitness
0,0,518401.1526215549,284075836.8532069,False,-10802016.189919222,35356539.183189705
1,1,518387.0999740266,124011302.61907542,False,-4140428.13547728,16457195.557789579
2,2,517362.1075685385,164989076.99019423,False,-8209030.528701178,25255032.52959023
3,3,7987.040471285213,61941348.09874903,True,-2736517.66228503,9606181.313075196
4,4,7987.040471285213,224510354.40294304,True,-8637029.06151913,33301615.047231488
5,5,7637.934888741547,68773118.70565063,True,-4116661.823316388,12174070.588313006
6,6,7472.347515821301,147160498.15965465,True,-5366581.214704234,21008204.761540234
7,7,7308.707340721121,85649195.60666224,True,-1540407.6252626143,9439269.617874125
8,8,7308.707340721121,15145997.455515485,True,-289551.4696442067,1639873.788433129
9,9,7256.500789097425,106176657.61858317,True,-4685599.941476594,18841624.428492535
10,10,7256.238746427186,7793788.18542297,True,-120951.63943704621,823667.3201017443
11,11,7124.990730519452,9680444.807637477,True,-254845.32815437525,1330784.3148922278
12,12,7124.990730519452,25580817.790965308,True,-540477.3943588624,2989328.569596165
13,13,7011.1443277252165,47558984.77159729,True,-1293507.1350383377,6597235.1877663415
14,14,7011.1443277252165,24496562.485796347,True,-458205.2984612467,2657488.5650140042
15,15,6991.654424943828,95819161.71240133,True,-1515978.6646381742,10222146.365386732
16,16,6818.960981362879,152003891.65106952,True,-5408073.704691451,22665237.43924808
17,17,6812.016298698782,75492444.51352228,True,-1942253.1944354568,10144666.705203656
18,18,6782.3509285765285,46739221.43023788,True,-1306930.9757793434,6738325.181718591
19,19,6686.895514360077,61321432.57873512,True,-2777156.744876749,10269735.286857326
20,20,6545.114169050501,75106787.11781082,True,-2632516.813786386,11659804.254008677
21,21,6543.06852014208,64776640.817491375,True,-2803300.3484043954,11034311.640642472
22,22,6513.349718744913,11363612.925096827,True,-317944.8506541267,1368121.1394062683
23,23,6274.8871875479035,111635596.4387014,True,-4386350.342891512,16497140.034753285
24,24,6151.0494127740585,57176932.859662525,True,-1475142.7578687316,7141181.978295326
25,25,6150.770516277609,45363890.488986254,True,-1800690.2169549514,6848188.245618025
26,26,6150.770516277609,127174545.48006131,True,-4085547.6226453786,17391630.678134028
27,27,5891.654177109551,241058236.3921301,True,-3865040.924490712,26534345.624888442
28,28,5890.062990208117,7297959.4296809565,True,-316086.1532782761,1207327.0791550083
29,29,5828.441827195121,30901288.27269248,True,-1059026.6593916924,4749018.405358563
30,30,5828.0045272273965,25765282.758535367,True,-518029.3278541685,2995067.2554357788
31,31,5828.0045272273965,26302229.839244913,True,-978551.8603679766,4133031.58132842
32,32,5828.0045272273965,118532109.63409455,True,-2276245.4960806547,13840588.573859096
33,33,5743.063349679265,43069147.77897587,True,-1189384.6554601756,5235828.707684551
34,34,5511.099728796094,17643404.71817197,True,-445323.2082875284,2259561.4488412323
35,35,5511.099728796094,88369311.75372528,True,-1319875.1690195515,9402114.269401126
36,36,5424.0534551661,103354330.58553998,True,-2624708.2269579736,12258995.17795705
37,37,5423.755767702818,98847709.1475676,True,-5940238.784567263,19371987.04889232
38,38,5338.605595442183,91021003.5012099,True,-4107185.318409984,14456989.150198784
39,39,5338.119216082315,27614694.531478707,True,-1383462.1570301333,4532677.1677093385
40,40,5338.119216082315,33779988.08053772,True,-1734539.71537805,4938709.864153216
41,41,5338.119216082315,28018694.39452475,True,-920790.8037671553,3587462.242356734
42,42,5313.15588928699,100595973.339598,True,-3010163.7352141812,12082000.419724807
43,43,5313.15588928699,93674665.55521448,True,-3913829.386329449,14793896.003409458
44,44,5313.15588928699,60772326.18589787,True,-3617431.4281486385,12184536.697247503
45,45,5313.15588928699,120560974.20505282,True,-3898235.9191728276,16577381.96553807
46,46,5313.080690603373,60576840.743732974,True,-2121357.401005227,8841023.472672168
47,47,5255.085317344781,136558866.66301456,True,-5348361.208143781,20306071.290067695
48,48,5255.08171050261,117301536.6870676,True,-3519401.503631479,15434122.554579843
49,49,5255.08171050261,95169413.51202817,True,-4893387.211288114,15926151.580524428
50,50,5255.08171050261,79578752.85838734,True,-3245726.1168261217,13084680.374701569
51,51,5243.862155275045,93502975.5473067,True,-4344144.723851329,15164195.952157158
52,52,5243.862155275045,65738158.95503682,True,-2578823.2342902436,10122119.420192014
53,53,5243.664676409788,41050351.75564615,True,-1477016.189844504,5590289.8021102
54,54,5243.664676409788,101779053.36204015,True,-7289605.948076671,19941776.67507835
55,55,5243.656690167979,36552539.46568603,True,-1913897.3226141254,6190970.710953334
56,56,5243.656690167979,74133521.40570153,True,-4958857.376944551,12327792.949384391
57,57,5243.656690167979,83130242.81422314,True,-3698623.6181502845,12992950.922710918
58,58,5243.656690167979,133752262.10103737,True,-4149235.347369309,17028762.645801127
59,59,5177.490723135172,83665235.49920918,True,-1836780.2505178174,9272439.046969904
60,60,5177.490723135172,103151867.36650792,True,-3669071.2013652283,14006333.162183318
61,61,5066.8626025791555,148728520.35787037,True,-8145338.580173151,28013904.982426252
62,62,5066.862009710648,83367378.94447368,True,-2759142.6083384985,12200948.87020532
63,63,5066.862009710648,24506331.097908672,True,-1337804.6573963794,3802624.0670736027
64,64,5066.862009710648,130621010.36628899,True,-4359386.71633039,17090769.04275313
65,65,5066.770819378424,72825892.07424955,True,-4568413.39056813,12712234.624345506
66,66,5066.770819378424,159616968.66967016,True,-4134182.9264500686,19146014.039609127
67,67,5032.170358485709,43065048.17148614,True,-954878.0136234055,5044192.458199365
68,68,4866.688632120341,153724026.61412346,True,-6128260.35340097,22128628.27972431
69,69,4866.688632120341,145899789.57807344,True,-3628359.7637874247,17360563.78942336
70,70,4866.688632120341,133034028.59180795,True,-3102000.723300302,15053364.26425575
71,71,4866.688632120341,101408024.89016578,True,-4470845.689090629,16388420.871245142
72,72,4866.572678989103,170553978.58995402,True,-8241053.461239052,29264545.25612364
73,73,4866.572678989103,73937517.09122117,True,-2622566.806260656,11087305.2115414
74,74,4866.572678989103,69873677.010291,True,-2746594.081590637,11236384.726890529
