,Sk,Lk,x1_reaching,x2_reaching,x3_reaching,x1_leaving,x2_leaving,x3_leaving
0,0,0.0,36521.17020370596,95.0,1042.39,36521.17020370596,95.0,1042.39
1,8,0.0,36978.91274597055,86.84926117083656,1042.39,37843.90274597055,86.84926117083656,1000.0100000000001
2,11,0.0,37903.971492553814,85.78348049581578,1000.0100000000001,38681.29149255381,85.78348049581578,948.7900000000001
3,6,0.0,38703.26429153472,85.41913060380425,948.7900000000001,39298.864291534715,85.41913060380425,873.44
4,2,0.0,39771.51326528524,77.51310179594574,873.44,40179.08326528524,77.51310179594574,821.3800000000001
5,13,0.0,40471.78879500604,72.64612889079051,821.3800000000001,41286.19879500604,72.64612889079051,747.1500000000001
6,12,0.0,41503.40155326604,69.11125442838244,747.1500000000001,41910.82155326604,69.11125442838244,682.8000000000001
7,14,0.0,41935.02486675489,68.75403074618868,682.8000000000001,42819.23486675489,68.75403074618868,614.2500000000001
8,4,0.0,42874.901475749575,67.86069440157236,614.2500000000001,43214.16147574958,67.86069440157236,540.0500000000001
9,15,0.0,43328.74419137342,66.23410146434473,540.0500000000001,43981.31419137342,66.23410146434473,491.21000000000004
10,17,0.0,44413.873804101306,60.17367620848679,491.21000000000004,44746.95380410131,60.17367620848679,469.31000000000006
11,9,0.0,44878.587652340655,58.26006766944103,469.31000000000006,45422.407652340655,58.26006766944103,422.6000000000001
12,7,0.0,45867.476941069326,52.041319514681376,422.6000000000001,46704.046941069326,52.041319514681376,392.6300000000001
13,3,0.0,46818.33770604398,50.52736030992461,392.6300000000001,47702.137706043985,50.52736030992461,350.0200000000001
14,19,0.0,47973.5738795976,46.85992997494858,350.0200000000001,48756.6738795976,46.85992997494858,283.05000000000007
15,16,0.0,48867.24157958221,45.44565824200638,283.05000000000007,49387.77157958221,45.44565824200638,225.13000000000005
16,1,0.0,49438.60982282821,44.82801154392381,225.13000000000005,50204.289822828214,44.82801154392381,175.24000000000007
17,20,0.0,50633.42766717152,39.80441250892525,175.24000000000007,51324.00766717152,39.80441250892525,129.93000000000006
18,18,0.0,51425.029789300606,38.63748089739213,129.93000000000006,51735.339789300604,38.63748089739213,99.84000000000006
19,5,0.0,51803.65985395425,37.85721218657201,99.84000000000006,52553.38985395425,37.85721218657201,58.60000000000006
20,10,0.0,53320.91461899913,29.209090222965187,58.60000000000006,53738.64461899913,29.209090222965187,5.684341886080802e-14
21,0,0.0,54206.75919835091,24.20545277694685,5.684341886080802e-14,54206.75919835091,24.20545277694685,5.684341886080802e-14
