,generation,best_fitness,worst_fitness,feasible,average_fitness,std_fitness
0,0,8346.772374529653,105126136.56747697,True,-8631979.208939316,20573276.80779249
1,1,8094.056184788732,69162695.32622148,True,-3863032.146198031,11457161.427529272
2,2,8094.056184788732,79566604.86428201,True,-4192295.1077867616,12109701.789388163
3,3,8093.415591644507,136028923.23322836,True,-4649742.817643216,19626386.984980818
4,4,8040.728033972328,145426302.15083227,True,-7412985.293955069,25023077.432111334
5,5,7688.248159832247,155899467.95834878,True,-5261258.855323745,20358998.101338703
6,6,7688.248159832247,136792165.46616945,True,-4399213.354059443,17847528.525925267
7,7,7618.798968884705,41113964.25856436,True,-2532047.9483901197,7577432.895734551
8,8,7350.210211236812,146945810.96106517,True,-4455401.489143522,19323698.11788134
9,9,6936.67331447303,46816698.23672377,True,-1262670.9272496505,6538363.982290179
10,10,6936.67331447303,144466839.90263164,True,-3027640.4629439507,17233756.493300457
11,11,6899.143874323156,81396946.92722769,True,-1815716.8646001234,9661669.110471873
12,12,6764.198018979187,64999011.23118211,True,-946225.6826248566,6839879.635559322
13,13,6704.525232940932,12276555.833335882,True,-466444.6864083407,1810596.9470094803
14,14,6619.213425847333,84635326.20030898,True,-2022758.4994519744,9956006.121306872
15,15,6570.419167008394,51774956.18157914,True,-2353129.38158605,8157862.48637977
16,16,6570.419167008394,37224189.37921898,True,-1243784.5468437627,5336869.109635236
17,17,6467.748082344926,54079777.4368826,True,-1718278.3826672803,6799637.652912694
18,18,6419.7235299540835,22945732.186052706,True,-1231292.9777507496,3824550.306986729
19,19,6346.160774264004,30897967.77363397,True,-812614.8952964792,3905049.4928980777
20,20,6346.1256328678055,92072440.68559366,True,-2238095.9582147268,10385535.47867846
21,21,6195.588541622625,15269031.700264787,True,-496746.35576338693,1933132.591557504
22,22,6195.588541622625,46443041.72607524,True,-1646838.7070257766,6644687.868292997
23,23,6195.56418239041,45922266.313230306,True,-1922021.727279821,7483926.318638794
24,24,6155.929366771428,34062922.16173625,True,-1403956.4049263478,4860165.876975395
25,25,6155.81394047331,45355611.717461,True,-1493542.5672890535,5716414.548578369
26,26,6155.773631802973,49752882.79637243,True,-1607762.678906025,7258684.697419142
27,27,6155.773631802973,52931067.625165194,True,-884647.4002615871,5689477.912906179
28,28,6150.032913234818,54250050.37868845,True,-1763742.9381052624,7818791.459066865
29,29,6149.952125827608,92251573.332212,True,-2044721.2795246716,10382647.499727217
30,30,6149.952125827608,28263993.993657794,True,-1261158.9916706835,4516413.891133649
31,31,5959.132020852587,60237506.92423883,True,-2636763.0269751316,8704298.516427765
32,32,5958.580644732941,6728279.0185034,True,-156034.21877508122,745885.9574151628
33,33,5958.580644732941,75397296.99896687,True,-1567681.1899477693,8661802.76187495
34,34,5866.34880191023,108168775.13116854,True,-3414847.7751788157,15968322.093777325
35,35,5866.34880191023,76569925.76446225,True,-3670530.537965974,12867489.35733796
36,36,5866.258134582229,47947313.23477661,True,-2158150.3618159597,8385695.657763187
37,37,5813.227847557466,95087673.31400251,True,-2585689.68233348,11794016.888509497
38,38,5807.800892599229,58422864.57206955,True,-1787962.2841807487,7531116.524266747
39,39,5807.703042353539,48945468.43674031,True,-2270929.513779388,7647235.383016353
40,40,5807.703042353539,52349894.59407994,True,-2415662.1599691655,10090565.169672925
41,41,5782.955896410567,24259457.97133089,True,-787669.2721493747,3333343.574948147
42,42,5782.955896410567,14466188.191261657,True,-587445.5312077777,2140275.2059742706
43,43,5782.955896410567,76753021.42441669,True,-2894573.4745586384,12491736.29468863
44,44,5782.955896410567,51183862.96332137,True,-2832119.5407362483,9368302.956554158
45,45,5781.523230341962,69940514.71731389,True,-2398471.350497204,10242798.829558201
46,46,5762.886055007269,41021117.95976801,True,-2285013.6228391444,6527414.416907007
47,47,5762.886055007269,99030360.23064631,True,-3040417.875231354,11922861.726920465
48,48,5761.453388992098,39895897.62579817,True,-2007691.4098110702,6335952.461991342
49,49,5761.453388992098,78976050.63933396,True,-6090600.864961107,16572072.75662745
50,50,5645.857562363582,33071212.98850836,True,-1210358.6829179025,4997798.847246346
51,51,5644.42489666492,16191653.99401387,True,-759401.4708902577,2663543.069120961
52,52,5644.032392650461,51751235.465826474,True,-3055265.9780004136,9850469.676328918
53,53,5503.483700789724,52689220.447545506,True,-1790076.7585840991,7984508.215814988
54,54,5500.819751009237,59952665.14815345,True,-1728911.1809649398,7845241.079676558
55,55,5496.951896351155,21993135.127390347,True,-904775.6189751539,3504238.2240243074
56,56,5496.951896351155,74782723.3626944,True,-2567880.659691223,11239346.966416582
57,57,5496.158667363899,105766283.94125643,True,-4036327.038196882,16279124.476329042
58,58,5496.123296236324,58594164.604281984,True,-3644577.4273941442,11851845.428600393
59,59,5496.123296236324,38982101.294543885,True,-2321207.2512573134,6423583.349470028
60,60,5475.882208255195,34096503.15861053,True,-1055764.2145517094,4629813.31952851
61,61,5475.882208255195,37981076.01146375,True,-1904746.127704876,6412881.63046124
62,62,5475.882208255195,247712404.4302019,True,-7962874.535093373,29905977.069957554
63,63,5475.656887768204,15393408.727598013,True,-989561.4175731865,3108127.840987315
64,64,5475.410589568693,127173900.20452693,True,-8467385.943617815,24549538.766283393
65,65,5475.410589568693,73620578.76747698,True,-3344039.236475544,10611675.413522193
66,66,5475.410589568693,74522767.6070714,True,-2519537.9808222805,10984852.96882464
67,67,5475.410589568693,48786445.24895427,True,-2887446.9901625914,8620120.688056113
68,68,5475.410589568693,123107485.23287663,True,-7794289.410596445,24073047.139595907
69,69,5475.410589568693,62177437.47627207,True,-3467357.5189853325,11953904.161627969
70,70,5475.410589568693,34501520.2948404,True,-2675320.0208678884,6994449.780979015
71,71,5475.410589568693,124318151.7442189,True,-5008264.343474547,19295890.065446444
72,72,5475.410589568693,51676368.156838454,True,-2038684.2107648337,7305741.474131596
73,73,5475.410589568693,88668650.45144403,True,-2800717.7549601323,10948654.8547832
74,74,5475.410589568693,63059859.16598885,True,-2241241.0774169858,9296151.545474188
75,75,5475.410589568693,220727972.95965374,True,-4253998.320477414,23895438.34288789
76,76,5475.410589568693,107316267.55163835,True,-4892438.714440044,18146902.082193285
77,77,5475.410589568693,103851159.31234485,True,-6419473.134338837,18921640.47188751
78,78,5178.558439678307,50066114.51376349,True,-2897338.829866543,9144859.868643975
79,79,5178.558439678307,77423289.6487498,True,-2818108.054883643,10368583.507956438
80,80,5178.558439678307,87852354.04627743,True,-3337795.366490797,12197178.483002882
81,81,5178.519255751452,85786824.80296549,True,-2653097.870933589,11491723.872272033
82,82,5178.519255751452,88075103.7294217,True,-2840800.985697466,12507861.893083462
83,83,5178.299079963414,111331762.45619561,True,-6274150.103885198,21508142.72939631
84,84,5178.248219157916,140805793.02806893,True,-4641776.357797683,19043355.342448946
85,85,5178.248219157916,100509478.28915493,True,-4463252.56356994,15942490.002938928
86,86,5178.248219157916,123387769.59120493,True,-5793756.92492568,20084338.314547565
87,87,5178.248219157916,71118176.1716331,True,-3183560.8200351717,12065433.846690351
88,88,5178.162522945075,55070436.26482212,True,-2394593.1553189266,8157842.486012641
89,89,5178.162522945075,79027565.33284354,True,-3370338.562264147,10492191.549720705
90,90,5178.162522945075,105470887.12507047,True,-4218801.8957295045,15457924.485086087
91,91,5178.162522945075,80971690.35046205,True,-2417838.9498367817,9566551.606914498
92,92,5178.162522945075,92819896.45480601,True,-3187847.2249018536,13277282.255392864
93,93,5178.162522945075,56803334.75664305,True,-3259930.4033585014,9551065.283071376
94,94,5178.162522945075,98318874.40658604,True,-3421035.6584109706,12803111.711613353
95,95,5178.162522945075,52288916.61573437,True,-1983770.7329289657,8824333.198586546
96,96,5178.162522945075,19957803.729812276,True,-1026431.7246420875,4092005.5656539933
97,97,5178.162522945075,123098605.39285874,True,-3294581.574532147,16226105.856945189
